"community.number","community","community.elev","community.Lat","community.Long","minelev","maxelev","total.host","andes","parasite.richness","parasite.observed"
1,"1.1trop",295,-11.711,-69.2128,277,318,553,"E",65,34
2,"13.4temp",2792,-9.7275,-76.10600834,2080,3800,255,"E",66.994,27
3,"2.2uppertrop",1200,-6.7167,-77.4167,1200,1490,249,"E",70.085,36
4,"2.3subtrop",2100,-6.106833333,-78.34158333,1884,2449,138,"E",241.51,86
5,"2.4temp",2820,-6.6833,-77.6833,2615,3200,215,"E",83.125,47
6,"2W.3subtrop",2500,-7.398033333,-78.77826667,2500,2500,84,"W",114.038,40
7,"3.5hitemp",3835,-14.05908333,-73.0016,3550,4578,112,"E",107.596,42
8,"4.2uppertrop",1173,-13.0555,-71.52653333,684,1500,334,"E",118.257,44
9,"4.4temp",2857,-12.62141667,-72.2421,2170,3380,177,"E",263.249,82
10,"5.5hitemp",3967,-11.76738334,-76.53193333,3040,4178,88,"W",50.179,28
11,"6.1trop",348,-6.646666667,-76.082525,317,438,494,"E",59.094,27
12,"6.2uppertrop",1226,-7.40883,-76.26837,1118,1423,310,"E",63.405,22
13,"6.3subtrop",1621,-7.424216667,-76.2901,1502,1964,162,"E",114.04,37
14,"7.1trop",129,-5.89343,-79.78739,125,143,116,"W",93.912,23
15,"7N.3subtrop",2050,-5.1,-79.2333,2050,2215,232,"E",85.359,36
16,"7S.4temp",3276,-6.2414,-79.2434,3153,3554,82,"W",57.529,26
17,"8.1trop",309,-8.38685,-78.64518,309,357,93,"W",21.986,16
18,"8.4temp",2550,-7.403833333,-78.77978333,2550,4073,90,"W",64.431,29
